id,mediumname,freeoremployed,UpDate,fairness,Suspiciousmedium
355,Sat.1,fest,2018-10-04 10:28:25.774163+00,"",Ok
356,Musikexpress,frei,2018-10-04 10:34:32.944998+00,"",Ok
357,Süddeutsche Zeitung Magazin,fest,2018-10-04 10:39:45.205199+00,"",Ok
359,Sttaubinger Tagblatt,fest,2018-10-04 10:51:41.722744+00,"",Ok
360,Orf Radio Ö1,fest,2018-10-04 10:53:44.838712+00,"",Ok
361,Radio Bremen,fest,2018-10-04 10:59:56.481278+00,"",Ok
362,Selbständig,frei,2018-10-04 11:00:35.860268+00,"",Ok
365,Heilbronner Stimme,fest,2018-10-04 11:21:33.149124+00,"",Ok
366,MDR Aktuell,pauschal,2018-10-04 11:25:58.664212+00,"",Ok
367,Republik (Onlinemagazin Schweiz),fest,2018-10-04 11:37:22.597465+00,"",Ok
368,PM History,frei,2018-10-04 11:43:52.448095+00,"",Ok
369,Mit Vergnügen,fest,2018-10-04 11:51:24.779413+00,"",Ok
370,Bietigheimer Zeitung,frei,2018-10-04 11:53:02.188259+00,"",Ok
371,Wanderlust,frei,2018-10-04 12:01:24.299827+00,"",Ok
372,Mittelbayerische Zeitung,fest,2018-10-04 12:10:38.739274+00,"",Ok
379,Delmenhorster Kurier,frei,2018-10-04 12:26:29.927531+00,"",Ok
378,Maxi,frei,2018-10-05 01:54:55.257226+00,"",Weird
381,essen & trinken,fest,2018-10-04 12:32:22.620258+00,"",Ok
383,Medienmagazin journalist,frei,2018-10-04 12:42:23.787777+00,"",Ok
384,WDR 2,fest,2018-10-04 12:44:46.664394+00,"",Ok
385,Wochenspiegel Halle,fest,2018-10-04 12:48:35.650644+00,"",Ok
386,Die Rheinpfalz,fest,2018-10-04 12:49:40.248874+00,"",Ok
388,Erzbistum Berlin,frei,2018-10-04 12:56:35.564441+00,"",Ok
390,SWR2 Radio,frei,2018-10-04 13:09:14.158192+00,"",Ok
391,ze.tt,fest,2018-10-04 13:19:53.82112+00,"",Ok
339,Hamburger Morgenpost,frei,2018-10-04 13:11:33.13384+00,"",Ok
392,"Produktionsfirmen i.A. von ARD, ZDF, arte, 3sat, DW",frei,2018-10-04 13:20:04.242833+00,"",Ok
393,"Produktionsfirmen i.A. von ARD, ZDF, Deutsche Welle, 3sat, arte",frei,2018-10-04 13:22:30.474079+00,"",Weird
364,WDR 5,frei,2018-10-05 20:53:43.63463+00,"",Ok
284,Der Focus,fest,2018-10-04 07:53:25.51712+00,,Ok
328,Apotheken-Umschau,frei,2018-10-04 16:39:59.342763+00,"",Ok
304,Alpin,frei,2018-10-04 16:43:37.779492+00,"",Ok
380,Neue Osnabrücker Zeitung,frei,2018-10-04 18:14:42.546413+00,"",Ok
374,Radio,fest,2018-10-04 20:38:56.00768+00,"",Ok
321,Abendzeitung,frei,2018-10-04 18:29:21.805082+00,"",Ok
310,Rheinische Post,frei,2018-10-06 18:55:24.276172+00,"",Ok
335,Fernsehen,fest,2018-10-04 19:42:09.704831+00,"",Ok
387,Tag des Herrn,frei,2018-10-04 22:00:00.962925+00,"",Ok
291,Spiegel Online,fest,2018-10-05 19:16:19.293347+00,"",Ok
340,pma,frei,2018-10-04 09:51:13.248321+00,,Ok
297,Bayerischer Rundfunk,frei,2018-10-05 08:57:28.21956+00,"",Ok
389,Bild,frei,2018-10-05 09:21:18.389527+00,"",Ok
294,Tageszeitung,fest,2018-10-05 10:32:26.196689+00,"",Ok
293,Rundfunk Berlin-Brandenburg,fest,2018-10-06 16:54:34.848565+00,"",Ok
262,Süddeutsche Zeitung,fest,2018-10-05 18:32:09.614271+00,"",Ok
363,Werben und Verkaufen,frei,2018-10-04 11:01:26.332649+00,,Ok
296,T-Online,frei,2018-10-06 19:47:44.660004+00,"",Ok
394,Produktionsfirma i.A. von 3sat,frei,2018-10-04 13:27:43.239419+00,"",Ok
395,Produktionsfirma i.A. arteJournal,frei,2018-10-04 13:28:44.766259+00,"",Ok
396,Produktionsfirma i-A- Deutsche Welle,frei,2018-10-04 13:29:53.289988+00,"",Weird
397,Produktionsfirma iA ZDF,frei,2018-10-04 13:32:12.470273+00,"",Ok
398,Sport1,pauschal,2018-10-04 13:39:15.407257+00,"",Ok
400,Online-Redaktion Fachzeitschrift,fest,2018-10-04 13:42:13.420255+00,"",Ok
402,Zeit Campus Online,frei,2018-10-04 13:44:32.442431+00,"",Ok
403,Zentralbild,fest,2018-10-04 13:44:39.165378+00,"",Ok
315,Cicero,frei,2018-10-04 13:45:45.87967+00,"",Ok
404,Munich Online,fest,2018-10-04 13:56:00.171897+00,"",Ok
405,enorm Magazin,fest,2018-10-04 13:57:45.478325+00,"",Ok
406,Burda,fest,2018-10-04 14:03:42.826737+00,"",Ok
407,Zeit Online,fest,2018-10-04 14:04:04.268176+00,"",Ok
409,Technik + Einkauf,frei,2018-10-04 14:17:53.334557+00,"",Ok
410,Neue Zürcher Zeitung,fest,2018-10-04 14:18:21.077385+00,"",Ok
411,Der Tagesspiegel,pauschal,2018-10-04 14:18:48.821255+00,"",Ok
412,Best-in-Procurement,frei,2018-10-04 14:19:15.544005+00,"",Ok
413,Mit Vergnügen,frei,2018-10-04 14:19:51.390691+00,"",Ok
414,Funke Mediengruppe (Online),fest,2018-10-04 14:23:01.989925+00,"",Ok
415,Kreiszeitung,fest,2018-10-04 14:25:43.840008+00,"",Ok
417,dpa themendienst,frei,2018-10-04 14:36:04.268717+00,"",Ok
420,Euronews,pauschal,2018-10-04 14:41:16.524406+00,"",Ok
421,Online News,fest,2018-10-04 14:55:24.05621+00,"",Ok
422,Radio,frei,2018-10-04 14:57:06.925311+00,"",Ok
424,Senioren Ratgeber,fest,2018-10-04 15:03:55.394527+00,"",Ok
479,Bento,pauschal,2018-10-04 19:32:08.375441+00,"",Ok
423,WDR 1LIVE,frei,2018-10-04 15:11:11.951723+00,"",Ok
480,Remscheider General-Anzeiger,frei,2018-10-04 19:33:55.187234+00,"",Ok
427,Detektor.fm Wort,frei,2018-10-04 15:13:33.611415+00,"",Ok
428,N-tv,pauschal,2018-10-04 15:13:48.833624+00,"",Ok
429,WDR COSMO,pauschal,2018-10-04 15:16:47.873298+00,"",Ok
430,online,fest,2018-10-04 15:22:29.944014+00,"",Ok
431,WDR 1Live,frei,2018-10-04 15:26:06.772354+00,"",Ok
432,Zeitschrift,fest,2018-10-04 15:32:40.044357+00,"",Ok
433,WAZ Lokalredaktion Bochum,frei,2018-10-04 15:42:26.653046+00,"",Ok
358,WDR Fernsehen,frei,2018-10-04 15:44:58.439698+00,"",Ok
434,Funke Medien Gruppe,fest,2018-10-04 16:02:17.639735+00,"",Ok
436,Nordsee-Zeitung,fest,2018-10-04 16:05:09.651344+00,"",Ok
437,Stern,fest,2018-10-04 16:10:37.487389+00,"",Ok
481,Funke Medien Gruppe,frei,2018-10-04 19:37:16.908485+00,"",Ok
226,Unispiegel,frei,2018-10-04 16:12:36.606662+00,"",Ok
484,Die Tageszeitung,fest,2018-10-04 20:12:10.275852+00,"",Ok
442,BILD,fest,2018-10-04 16:52:35.743417+00,"",Ok
443,Lübecker Nachrichten,pauschal,2018-10-04 16:52:56.53303+00,"",Ok
444,Daddylicious,frei,2018-10-04 16:54:20.567449+00,"",Ok
445,Deutsch perfekt,fest,2018-10-04 17:03:51.502547+00,"",Ok
446,Wochenzeitung,fest,2018-10-04 17:13:21.203854+00,"",Ok
447,MDR Sachsen,frei,2018-10-04 17:19:13.406625+00,"",Ok
448,Kundenmagazin Medtech-Branche,frei,2018-10-04 17:24:10.954016+00,"",Ok
449,Illustrierte,frei,2018-10-04 17:25:54.619742+00,"",Ok
450,campus.leben,frei,2018-10-04 17:26:12.293106+00,"",Ok
451,Online,frei,2018-10-04 17:28:13.378976+00,"",Ok
453,Die Aktuelle,frei,2018-10-04 17:32:53.158031+00,"",Ok
454,Wienerin,frei,2018-10-04 17:33:53.725469+00,"",Ok
455,FAZ Online,fest,2018-10-04 17:38:04.525989+00,"",Ok
456,Wirtschaftswoche Online,frei,2018-10-04 17:39:42.269556+00,"",Ok
458,dpa Themendienst,frei,2018-10-04 17:41:38.916983+00,"",Ok
459,BuzzFeed News,frei,2018-10-04 17:45:05.694139+00,"",Ok
243,Stern,frei,2018-10-04 16:17:33.871353+00,,Ok
460,Freie Presse,fest,2018-10-04 17:48:09.751439+00,"",Ok
461,BR,frei,2018-10-04 17:48:09.935006+00,"",Ok
462,Handelsblatt,frei,2018-10-04 17:54:46.196864+00,"",Ok
463,Süddeutsche Online,fest,2018-10-04 18:07:52.140485+00,"",Ok
425,Deutschlandfunk Nova,frei,2018-10-06 19:11:45.881674+00,"",Ok
464,N-tv,fest,2018-10-04 18:25:59.527833+00,"",Ok
465,Nürnberger Nachrichten,fest,2018-10-04 18:27:15.695762+00,"",Ok
467,Landshuter Zeitung,fest,2018-10-04 18:45:43.055407+00,"",Ok
469,Nordbayerische Nachrichten,fest,2018-10-04 18:52:47.647981+00,"",Ok
471,Magdeburger Volksstimme,fest,2018-10-04 19:14:38.310697+00,"",Ok
472,Dresdner Neueste Nachrichten,frei,2018-10-04 19:15:09.677177+00,"",Ok
473,Hiphop.de,frei,2018-10-04 19:15:38.421406+00,"",Ok
474,Le Monde Diplomatique,frei,2018-10-04 19:15:55.501851+00,"",Ok
475,Bento.de,frei,2018-10-04 19:18:28.764145+00,"",Ok
476,Ndr,fest,2018-10-04 19:19:25.394207+00,"",Ok
477,Bild,fest,2018-10-04 19:20:04.327866+00,"",Ok
478,Kölnische Rundschau,frei,2018-10-04 19:29:19.5827+00,"",Ok
487,Göttinger Tageblatt,fest,2018-10-04 20:22:21.962503+00,"",Ok
457,Brigitte,fest,2018-10-04 20:36:21.621031+00,"",Ok
452,Die Welt,fest,2018-10-06 08:13:55.632183+00,"",Ok
488,Computer Bild,fest,2018-10-04 20:43:46.076305+00,"",Ok
470,Buzzfeed,frei,2018-10-05 11:55:09.314114+00,"",Ok
491,stern.de,fest,2018-10-04 20:55:53.784916+00,"",Ok
489,Radio Essen,frei,2018-10-04 21:21:15.507737+00,"",Ok
492,Chip Online,pauschal,2018-10-04 20:58:00.106156+00,"",Ok
490,Radio Essen,pauschal,2018-10-04 21:19:39.783236+00,"",Ok
493,Der Spiegel,fest,2018-10-04 20:58:26.067348+00,"",Ok
494,Chip Online,frei,2018-10-04 21:12:36.216815+00,"",Ok
495,Utopia.de,frei,2018-10-04 21:06:36.640448+00,"",Ok
496,Radio Oberhausen,fest,2018-10-04 21:10:36.459971+00,"",Ok
497,Radio Mülheim,fest,2018-10-04 21:11:46.210363+00,"",Ok
498,Print Fachmagazin,fest,2018-10-04 21:12:51.024447+00,"",Ok
499,Focus Online,frei,2018-10-04 21:22:24.945503+00,"",Ok
500,Focus Online,pauschal,2018-10-04 21:24:39.267539+00,"",Ok
501,Vatican News,frei,2018-10-04 21:50:41.635098+00,"",Ok
502,Nordkurier,fest,2018-10-04 21:53:07.671925+00,"",Ok
503,Vtican newes,frei,2018-10-04 21:57:10.635977+00,"",Ok
441,Focus Gesundheit,frei,2018-10-05 09:56:22.383515+00,"",Ok
408,Hessischer Rundfunk,frei,2018-10-05 07:33:08.443469+00,"",Ok
426,Business Punk,frei,2018-10-05 08:34:29.40318+00,"",Ok
482,Der Freitag,frei,2018-10-05 20:51:25.293457+00,"",Ok
483,Print,fest,2018-10-05 19:04:14.535281+00,"",Ok
419,WdR,pauschal,2018-10-04 14:40:06.765751+00,,Ok
416,WDR Online,pauschal,2018-10-04 14:29:02.329025+00,,Ok
440,Stormarner Tageblatt,frei,2018-10-04 16:21:13.288685+00,,Ok
439,SHZ,frei,2018-10-04 16:20:08.517718+00,,Ok
435,Bloganbieter,frei,2018-10-04 16:02:58.847473+00,,Ok
485,DIE ZEIT,fest,2018-10-05 11:52:25.964984+00,,Ok
486,Radio NRW,fest,2018-10-06 21:50:09.61697+00,"",Ok
418,Deutsche Presseagentur,fest,2018-10-06 23:20:14.802352+00,"",Ok
504,Kölner Stadt-Anzeiger,pauschal,2018-10-04 21:57:33.842947+00,"",Ok
505,Lufthansa Magazin,fest,2018-10-04 22:22:20.549654+00,"",Ok
506,Telepolis,frei,2018-10-04 23:28:25.98714+00,"",Ok
562,PNN,pauschal,2018-10-05 18:24:11.731311+00,"",Ok
507,Der Focus,frei,2018-10-04 23:30:19.993601+00,"",Ok
508,Watson Online,fest,2018-10-05 03:58:18.896116+00,"",Ok
511,Gehirn & Geist,frei,2018-10-05 05:23:40.194488+00,"",Ok
527,DPA,fest,2018-10-05 08:12:05.7579+00,,Ok
563,LIFT - Das Stuttgartmagazin,frei,2018-10-05 18:58:02.128222+00,"",Ok
466,Ruhr-Nachrichten,fest,2018-10-05 06:11:52.101437+00,"",Ok
101,Westdeutscher Rundfunk,frei,2018-10-05 13:55:32.433396+00,,Ok
512,Glamour,frei,2018-10-05 06:28:13.318091+00,"",Ok
513,SZENE Hamburg,frei,2018-10-05 06:31:19.323129+00,"",Ok
514,Internet,frei,2018-10-05 06:36:18.727156+00,"",Ok
564,NDR Fernsehen,fest,2018-10-05 19:03:33.258278+00,"",Ok
515,Verband,frei,2018-10-05 06:41:37.074981+00,"",Ok
516,Cosmopolitan,frei,2018-10-05 06:46:48.51448+00,"",Ok
565,Offenbach-Post,fest,2018-10-05 19:04:20.02186+00,"",Ok
525,travelbook.de,frei,2018-10-05 07:53:46.295189+00,,Ok
523,Mitteldeutscher Rundfunk,fest,2018-10-05 07:51:53.943103+00,,Ok
313,Westdeutscher Rundfunk,fest,2018-10-05 06:51:00.030134+00,"",Ok
566,Art. 5 III,frei,2018-10-05 19:41:28.599235+00,"",Ok
583,Märkische Allgemeine,frei,2018-10-06 07:42:17.180119+00,"",Ok
162,Deutschlandfunk,frei,2018-10-05 19:48:05.839127+00,"",Ok
567,Neue Zürcher Zeitung am Sonntag,frei,2018-10-05 19:51:14.553249+00,"",Ok
568,Umwelt im Unterricht,frei,2018-10-05 19:59:23.207208+00,"",Ok
76,Die Zeit,frei,2018-10-06 07:44:22.834514+00,,Ok
517,PC Magazin,frei,2018-10-05 07:13:23.119336+00,"",Ok
518,c't magazin für computertechnik,frei,2018-10-05 07:17:07.854695+00,"",Ok
519,RTL,fest,2018-10-05 07:24:49.195046+00,"",Ok
520,ZDF,frei,2018-10-05 07:29:03.869229+00,"",Ok
569,tip Berlin,frei,2018-10-05 20:19:41.911041+00,"",Ok
570,netzpolitik.org,fest,2018-10-05 20:25:21.743949+00,"",Ok
521,Funke Zeitschriften,frei,2018-10-05 07:44:42.911937+00,"",Ok
522,Bild der Frau,frei,2018-10-05 07:49:41.994831+00,"",Ok
584,Flair,frei,2018-10-06 08:39:13.907018+00,"",Ok
585,FAZ Online,frei,2018-10-06 08:57:37.89775+00,"",Ok
524,Südkurier,frei,2018-10-05 07:52:30.910153+00,"",Ok
526,Weißenburger Tagblatt,fest,2018-10-05 08:07:48.88318+00,"",Ok
528,General-Anzeiger (Bonn),frei,2018-10-05 08:15:40.354504+00,"",Ok
582,DPA,fest,2018-10-06 07:32:52.396124+00,,Ok
533,WDR 2,frei,2018-10-05 20:57:32.565538+00,"",Ok
529,Radio/TV/Online (Öffentl.-Rechtliche),pauschal,2018-10-05 08:20:03.11806+00,"",Ok
531,Merkurist,frei,2018-10-05 08:30:11.889331+00,"",Ok
532,Techbook,pauschal,2018-10-05 08:31:57.653316+00,"",Ok
594,Automobil Produktion,frei,2018-10-06 15:47:33.037525+00,"",Ok
591,SWR,frei,2018-10-06 14:27:47.066262+00,,Ok
535,Stuttgarter Zeitung / Nachrichten,fest,2018-10-05 09:13:44.195276+00,"",Ok
536,Gizmodo,frei,2018-10-05 09:21:47.969675+00,"",Ok
595,VDMA Nachrichten,frei,2018-10-06 15:50:53.661487+00,"",Ok
537,Hallo München Wochenzeitung,fest,2018-10-05 09:31:00.96311+00,"",Ok
538,Saarländischer Rundfunk,frei,2018-10-05 09:35:04.627002+00,"",Ok
539,Nassauische Neue Presse,frei,2018-10-05 09:36:07.240586+00,"",Ok
571,Taz Online,pauschal,2018-10-05 20:56:44.923946+00,,Ok
572,Aachener Zeitung,pauschal,2018-10-05 22:22:45.404263+00,"",Ok
540,Fachzeitung,frei,2018-10-05 09:44:43.095138+00,"",Ok
573,Wdr 5 Kiraka,frei,2018-10-05 23:36:27.708175+00,"",Ok
534,Junge Welt,frei,2018-10-05 09:48:26.567288+00,"",Ok
541,Zeit Leo,frei,2018-10-05 09:55:16.339227+00,"",Ok
542,epd medien,frei,2018-10-05 10:09:01.056478+00,"",Ok
543,Bahn-Media Verlag,frei,2018-10-05 10:40:33.783195+00,"",Ok
544,"Katholische Frauen Deutschland ""Die Mitarbeiterin""",frei,2018-10-05 10:50:27.191957+00,"",Ok
545,Gießener Anzeiger,frei,2018-10-05 11:19:33.807276+00,"",Ok
546,Prosieben,fest,2018-10-05 11:20:13.421698+00,"",Ok
547,Impulse Medien GmbH,fest,2018-10-05 11:37:57.099245+00,"",Ok
548,Arte,frei,2018-10-05 11:45:38.277633+00,"",Ok
549,Radio NRW,frei,2018-10-05 12:07:13.754512+00,"",Ok
550,Nordkurier,frei,2018-10-05 12:18:32.497678+00,"",Ok
551,Wissenschaftsladen Bonn,frei,2018-10-05 12:28:09.051182+00,"",Ok
552,Wiesbadener Kurier,frei,2018-10-05 12:31:46.284542+00,"",Ok
553,Rhein-Zeitung,fest,2018-10-05 12:31:59.918597+00,"",Ok
554,WirtschaftsWoche Online,frei,2018-10-05 13:22:57.487034+00,"",Ok
574,Pressestelle Universität Leipzig,frei,2018-10-05 23:37:53.39084+00,"",Ok
575,Pressestelle Uni Leipzig,frei,2018-10-05 23:39:56.440211+00,"",Ok
530,Südwestrundfunk,frei,2018-10-06 11:11:55.779443+00,"",Ok
555,WDR 4,frei,2018-10-05 14:15:25.398127+00,"",Ok
556,Sonntagszeitung,frei,2018-10-05 14:15:38.337308+00,"",Ok
557,Fernsehn,fest,2018-10-05 14:35:29.779098+00,"",Ok
558,Test,fest,2018-10-05 14:46:43.530177+00,"",Ok
559,nrwision,fest,2018-10-05 15:49:58.803247+00,"",Ok
576,MDR 1 Radio SChsen,frei,2018-10-05 23:43:08.821475+00,"",Ok
586,Zoomin,fest,2018-10-06 11:24:25.559032+00,"",Ok
560,Edison,frei,2018-10-05 16:28:01.444373+00,"",Ok
561,Aerokurier,frei,2018-10-05 18:11:18.310366+00,"",Ok
401,Bayerischer Rundfunk,pauschal,2018-10-06 06:48:42.336278+00,"",Ok
577,Taspo,frei,2018-10-06 06:50:32.742682+00,"",Ok
578,SchuhMarkt,frei,2018-10-06 06:54:40.128204+00,"",Ok
579,Stores + shops,frei,2018-10-06 06:56:18.005557+00,"",Ok
580,Petra,frei,2018-10-06 06:58:55.480928+00,"",Ok
581,LebensmittelZeitung,frei,2018-10-06 07:00:17.464461+00,"",Ok
587,Funke Mediengruppe,fest,2018-10-06 11:25:07.200554+00,"",Ok
588,Bayerischer Rundfunk,fest,2018-10-06 11:37:10.452004+00,"",Ok
399,Südwestrundfunk,pauschal,2018-10-06 14:38:48.51165+00,,Ok
589,Hit Radio FFH,fest,2018-10-06 11:44:12.020962+00,"",Ok
590,Der Tagesspiegel,fest,2018-10-06 13:03:20.716138+00,,Ok
592,Hessische/Niedersächsische Allgemeine (HNA),fest,2018-10-06 15:18:12.731691+00,"",Ok
593,bänder bleche rohre (Henrich-Publikationen,frei,2018-10-06 15:44:31.244343+00,"",Ok
597,Bild der Wissenschaft,frei,2018-10-06 15:56:14.388084+00,"",Ok
598,Schwäbische Zeitung,fest,2018-10-06 16:57:10.856167+00,"",Ok
599,Prosieben,frei,2018-10-06 16:57:57.100125+00,"",Ok
600,BlickPunkt Potsdam,fest,2018-10-06 16:59:59.128132+00,"",Ok
601,Geo Saison,frei,2018-10-06 17:00:42.984659+00,"",Ok
602,Visions,frei,2018-10-06 17:11:26.137085+00,"",Ok
603,ORF,fest,2018-10-06 19:05:18.582167+00,"",Ok
604,Stuttgarter Nachrichten,frei,2018-10-06 19:08:31.395802+00,"",Ok
605,Evangelischer Pressedienst,frei,2018-10-06 19:14:07.252445+00,"",Ok
596,mav,frei,2018-10-06 15:53:04.952577+00,,Ok
606,Fachpresse Schweiz,frei,2018-10-06 19:38:11.472416+00,,Ok
607,Radio WMW,frei,2018-10-07 07:18:12.595153+00,"",Ok
510,Social Media,fest,2018-10-07 07:44:25.718584+00,"",Ok
608,Passauer Neue Presse,fest,2018-10-07 08:51:57.857796+00,"",Ok
609,Munich Online GmbH,fest,2018-10-07 09:44:52.422583+00,"",Ok
610,tz.de,fest,2018-10-07 10:11:05.564252+00,"",Ok
